Traffic Lights,True Labels,Age Likelihood,Sex,Brain Region
Amber,0,0.301207,Female,PFC
Green,0,0.21146473,Male,PFC
Green,0,0.14710504,Female,HC
Green,0,0.106026426,Male,PFC
Red,1,0.80715466,Male,HC
Amber,0,0.5198506,Female,CC
Amber,0,0.6906369,Male,CC
Red,1,0.9089907,Female,CC
Red,1,0.8504178,Male,CC
Green,0,0.15380272,Male,PFC
Green,0,0.0718591,Female,PFC
Amber,1,0.6631874,Male,PFC
Green,1,0.08324575,Male,PFC
Amber,0,0.56995934,Male,CC
Amber,1,0.62487006,Female,CC
Amber,1,0.51109016,Female,PFC
Red,0,0.9880052,Male,CC
Amber,0,0.73509765,Female,CC
Green,0,0.22248758,Female,CC
Amber,1,0.38674688,Female,PFC
Red,1,0.94033813,Female,CC
Red,1,0.91754127,Male,PFC
Green,0,0.22372289,Male,CC
Amber,0,0.5643625,Female,CC
Red,1,0.94173,Male,CC
Amber,0,0.26347214,Male,HC
Green,0,0.18784979,Female,HC
Amber,0,0.59195906,Male,CC
Amber,1,0.28437194,Male,HC
Green,1,0.23375249,Female,CC
Red,1,0.8312874,Female,PFC
Red,0,0.8602642,Female,HC
Amber,0,0.72397774,Male,CC
Amber,1,0.60691524,Female,CC
Amber,1,0.3434101,Male,HC
